city,lat_lngs,lat,long,temp,max_temp,humidity,wind_speed,clouds
fort nelson,"(58.24693444652877, -120.86664809686879)",58.24693444652877,-120.86664809686879,48.54,52,81,4.7,95
chuy,"(-49.35109253657911, -39.429898254833546)",-49.35109253657911,-39.429898254833546,63.26,63.26,68,9.86,7
baykit,"(63.528530235672775, 94.43696353077308)",63.528530235672775,94.43696353077308,34.28,34.28,90,9.55,93
tumaco,"(1.995603110872878, -79.38224527054406)",1.995603110872878,-79.38224527054406,80.72,80.72,85,15.14,100
ilhabela,"(-28.876786895760894, -43.12223950149084)",-28.876786895760894,-43.12223950149084,76.94,76.94,81,13.27,28
severobaykalsk,"(54.92746348433252, 108.71410915289675)",54.92746348433252,108.71410915289675,24.74,24.74,92,3.74,77
pisco,"(-17.53469707494881, -80.90265336451355)",-17.53469707494881,-80.90265336451355,71.83,72,30,5.82,0
lebu,"(-29.923459728320857, -102.72777530434769)",-29.923459728320857,-102.72777530434769,68,68,37,6.93,20
nioro,"(19.12722675369659, -8.591833876968991)",19.12722675369659,-8.591833876968991,111.5,111.5,10,10.83,0
vestmanna,"(65.01886883571038, -7.906566793711107)",65.01886883571038,-7.906566793711107,32,32,71,14.99,90
aykhal,"(68.70556134055221, 108.9703650636377)",68.70556134055221,108.9703650636377,21.2,21.2,62,2.24,0
iralaya,"(15.768171554547436, -82.95552763621261)",15.768171554547436,-82.95552763621261,86,86,70,10.29,75
khani,"(59.645265375742184, 120.41259225658337)",59.645265375742184,120.41259225658337,66.2,66.2,63,4.7,40
phalombe,"(-16.281061205055153, 36.3450103296486)",-16.281061205055153,36.3450103296486,58.94,58.94,97,4.61,2
dachau,"(48.38058534571596, 11.473201931107809)",48.38058534571596,11.473201931107809,48.4,51.8,49,4.7,47
